timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703253155319,6,Create character,200,OK,Home Work 17 1-28,text,true,,235,227,9,9,http://localhost:3001/character,6,0,0
1703253155320,6,Change character,200,OK,Home Work 17 1-26,text,true,,235,229,9,9,http://localhost:3001/character/4,6,0,0
1703253155321,6,Characters by ID,200,OK,Home Work 17 1-30,text,true,,235,127,9,9,http://localhost:3001/character/1,6,0,0
1703253155304,24,Characters,200,OK,Home Work 17 1-32,text,true,,266,126,9,9,http://localhost:3001/characters,24,0,1
1703253155325,4,Delete character,200,OK,Home Work 17 1-27,text,true,,249,232,9,9,http://localhost:3001/character/4,4,0,0
1703253155326,4,Change character,200,OK,Home Work 17 1-28,text,true,,235,229,8,8,http://localhost:3001/character/4,3,0,0
1703253155326,4,Delete character,200,OK,Home Work 17 1-26,text,true,,249,232,8,8,http://localhost:3001/character/4,4,0,0
1703253155323,8,Create character,200,OK,Home Work 17 1-29,text,true,,235,227,7,7,http://localhost:3001/character,8,0,0
1703253155324,7,Characters by ID,200,OK,Home Work 17 1-31,text,true,,235,127,7,7,http://localhost:3001/character/1,7,0,0
1703253155315,17,Characters,200,OK,Home Work 17 1-33,text,true,,263,126,7,7,http://localhost:3001/characters,17,0,2
1703253155330,2,Delete character,200,OK,Home Work 17 1-28,text,true,,249,232,7,7,http://localhost:3001/character/4,2,0,0
1703253155327,6,Create character,200,OK,Home Work 17 1-30,text,true,,235,227,7,7,http://localhost:3001/character,6,0,0
1703253155328,5,Characters by ID,200,OK,Home Work 17 1-32,text,true,,235,127,6,6,http://localhost:3001/character/1,5,0,0
1703253155324,10,Characters,200,OK,Home Work 17 1-34,text,true,,263,126,6,6,http://localhost:3001/characters,10,0,1
1703253155331,4,Change character,200,OK,Home Work 17 1-29,text,true,,235,229,7,7,http://localhost:3001/character/4,4,0,0
1703253155331,4,Create character,200,OK,Home Work 17 1-31,text,true,,235,227,7,7,http://localhost:3001/character,4,0,0
1703253155332,4,Characters by ID,200,OK,Home Work 17 1-33,text,true,,235,127,7,7,http://localhost:3001/character/1,4,0,0
1703253155333,3,Change character,200,OK,Home Work 17 1-30,text,true,,235,229,7,7,http://localhost:3001/character/4,3,0,0
1703253155334,3,Create character,200,OK,Home Work 17 1-32,text,true,,235,227,7,7,http://localhost:3001/character,3,0,0
1703253155334,3,Characters by ID,200,OK,Home Work 17 1-34,text,true,,235,127,7,7,http://localhost:3001/character/1,3,0,0
1703253155335,3,Delete character,200,OK,Home Work 17 1-29,text,true,,249,232,7,7,http://localhost:3001/character/4,3,0,0
1703253155336,3,Change character,200,OK,Home Work 17 1-31,text,true,,235,229,6,6,http://localhost:3001/character/4,3,0,0
1703253155336,4,Create character,200,OK,Home Work 17 1-33,text,true,,235,227,6,6,http://localhost:3001/character,4,0,0
1703253155337,3,Delete character,200,OK,Home Work 17 1-30,text,true,,249,232,6,6,http://localhost:3001/character/4,3,0,0
1703253155337,6,Change character,200,OK,Home Work 17 1-32,text,true,,235,229,5,5,http://localhost:3001/character/4,5,0,0
1703253155337,6,Create character,200,OK,Home Work 17 1-34,text,true,,235,227,5,5,http://localhost:3001/character,6,0,0
1703253155335,9,Characters,200,OK,Home Work 17 1-35,text,true,,269,126,6,6,http://localhost:3001/characters,9,0,1
1703253155340,4,Change character,200,OK,Home Work 17 1-33,text,true,,235,229,6,6,http://localhost:3001/character/4,4,0,0
1703253155340,5,Delete character,200,OK,Home Work 17 1-31,text,true,,249,232,6,6,http://localhost:3001/character/4,5,0,0
1703253155343,4,Delete character,200,OK,Home Work 17 1-32,text,true,,249,232,5,5,http://localhost:3001/character/4,4,0,0
1703253155343,4,Change character,200,OK,Home Work 17 1-34,text,true,,235,229,5,5,http://localhost:3001/character/4,4,0,0
1703253155344,3,Characters by ID,200,OK,Home Work 17 1-35,text,true,,235,127,5,5,http://localhost:3001/character/1,3,0,0
1703253155345,3,Delete character,200,OK,Home Work 17 1-33,text,true,,249,232,4,4,http://localhost:3001/character/4,3,0,0
1703253155344,5,Characters,200,OK,Home Work 17 1-36,text,true,,260,126,3,3,http://localhost:3001/characters,5,0,1
1703253155348,2,Create character,200,OK,Home Work 17 1-35,text,true,,235,227,3,3,http://localhost:3001/character,2,0,0
1703253155348,3,Delete character,200,OK,Home Work 17 1-34,text,true,,249,232,3,3,http://localhost:3001/character/4,3,0,0
1703253155350,2,Characters by ID,200,OK,Home Work 17 1-36,text,true,,235,127,2,2,http://localhost:3001/character/1,2,0,0
1703253155351,2,Change character,200,OK,Home Work 17 1-35,text,true,,235,229,2,2,http://localhost:3001/character/4,1,0,0
1703253155352,2,Create character,200,OK,Home Work 17 1-36,text,true,,235,227,2,2,http://localhost:3001/character,2,0,0
1703253155353,2,Delete character,200,OK,Home Work 17 1-35,text,true,,249,232,2,2,http://localhost:3001/character/4,2,0,0
1703253155354,2,Change character,200,OK,Home Work 17 1-36,text,true,,235,229,2,2,http://localhost:3001/character/4,2,0,0
1703253155357,2,Delete character,200,OK,Home Work 17 1-36,text,true,,249,232,2,2,http://localhost:3001/character/4,2,0,0
1703253155355,4,Characters,200,OK,Home Work 17 1-37,text,true,,260,126,2,2,http://localhost:3001/characters,4,0,1
1703253155359,3,Characters by ID,200,OK,Home Work 17 1-37,text,true,,235,127,1,1,http://localhost:3001/character/1,3,0,0
1703253155362,2,Create character,200,OK,Home Work 17 1-37,text,true,,235,227,2,2,http://localhost:3001/character,2,0,0
1703253155364,3,Change character,200,OK,Home Work 17 1-37,text,true,,235,229,2,2,http://localhost:3001/character/4,2,0,0
1703253155364,4,Characters,200,OK,Home Work 17 1-38,text,true,,260,126,2,2,http://localhost:3001/characters,3,0,1
1703253155367,2,Delete character,200,OK,Home Work 17 1-37,text,true,,249,232,2,2,http://localhost:3001/character/4,2,0,0
1703253155368,1,Characters by ID,200,OK,Home Work 17 1-38,text,true,,235,127,2,2,http://localhost:3001/character/1,1,0,0
1703253155370,1,Create character,200,OK,Home Work 17 1-38,text,true,,235,227,1,1,http://localhost:3001/character,1,0,0
1703253155372,1,Change character,200,OK,Home Work 17 1-38,text,true,,235,229,2,2,http://localhost:3001/character/4,1,0,0
1703253155374,2,Delete character,200,OK,Home Work 17 1-38,text,true,,249,232,2,2,http://localhost:3001/character/4,1,0,0
1703253155373,3,Characters,200,OK,Home Work 17 1-39,text,true,,257,126,2,2,http://localhost:3001/characters,3,0,1
1703253155376,2,Characters by ID,200,OK,Home Work 17 1-39,text,true,,235,127,1,1,http://localhost:3001/character/1,2,0,0
1703253155378,2,Create character,200,OK,Home Work 17 1-39,text,true,,235,227,1,1,http://localhost:3001/character,2,0,0
1703253155380,3,Change character,200,OK,Home Work 17 1-39,text,true,,235,229,1,1,http://localhost:3001/character/4,3,0,0
1703253155383,2,Delete character,200,OK,Home Work 17 1-39,text,true,,249,232,2,2,http://localhost:3001/character/4,2,0,0
1703253155384,5,Characters,200,OK,Home Work 17 1-40,text,true,,257,126,1,1,http://localhost:3001/characters,5,0,1
1703253155389,2,Characters by ID,200,OK,Home Work 17 1-40,text,true,,235,127,1,1,http://localhost:3001/character/1,2,0,0
1703253155391,1,Create character,200,OK,Home Work 17 1-40,text,true,,235,227,1,1,http://localhost:3001/character,1,0,0
1703253155393,2,Change character,200,OK,Home Work 17 1-40,text,true,,235,229,2,2,http://localhost:3001/character/4,1,0,0
1703253155395,1,Delete character,200,OK,Home Work 17 1-40,text,true,,249,232,2,2,http://localhost:3001/character/4,1,0,0
1703253155394,3,Characters,200,OK,Home Work 17 1-41,text,true,,257,126,2,2,http://localhost:3001/characters,3,0,1
